sk_opcao,grupo,grupo_rotulo,opcao,opcao_rotulo,comparavel_entre_anos
8639758af84987f5,atividades_cientista_dados,Atividades: Cientista de Dados,deploy_modelo_prod_criacao_api_monitoramento,deploy_modelo_prod_criacao_api_monitoramento,False
657552deba28f3b9,atividades_cientista_dados,Atividades: Cientista de Dados,dev_ml_prod_tmp_gasto_cientista,dev_ml_prod_tmp_gasto_cientista,False
a97cfeb4986d8718,atividades_cientista_dados,Atividades: Cientista de Dados,dev_modelo_ml,dev_modelo_ml,False
7420226a8c3396e0,atividades_cientista_dados,Atividades: Cientista de Dados,dev_nuvem,dev_nuvem,False
19f2ac968b37b4c5,atividades_cientista_dados,Atividades: Cientista de Dados,feature_store_cientista,feature_store_cientista,False
d8e069c0c340d6fd,atividades_cientista_dados,Atividades: Cientista de Dados,feature_store_ml_ops_tmp_gasto_cientista,feature_store_ml_ops_tmp_gasto_cientista,False
c6d1bbceb009fc48,atividades_cientista_dados,Atividades: Cientista de Dados,ferramenta_avanc_estatistica_analise_ajust_modelo,ferramenta_avanc_estatistica_analise_ajust_modelo,False
e3f2baad72723830,atividades_cientista_dados,Atividades: Cientista de Dados,ferramenta_avancadas_estatistica_analista_tmp_gasto_cientista,ferramenta_avancadas_estatistica_analista_tmp_gasto_cientista,False
6f318494296e347c,atividades_cientista_dados,Atividades: Cientista de Dados,ferramenta_bi_cientista,ferramenta_bi_cientista,False
7dd415b322ce1d27,atividades_cientista_dados,Atividades: Cientista de Dados,ferramenta_estatistica_avanc_cientista,ferramenta_estatistica_avanc_cientista,False
45b2ca8f07d20ca7,atividades_cientista_dados,Atividades: Cientista de Dados,ferramenta_etl_cientista,ferramenta_etl_cientista,False
e7fdfcc5156f9b8f,atividades_cientista_dados,Atividades: Cientista de Dados,ferramentas_avanc_estatistica_analista_1,ferramentas_avanc_estatistica_analista_1,False
fe49d9d976dda821,atividades_cientista_dados,Atividades: Cientista de Dados,infra_modelo_clusters_servidores_tmp_gasto_cientista,infra_modelo_clusters_servidores_tmp_gasto_cientista,False
70999a26e6bbaa92,atividades_cientista_dados,Atividades: Cientista de Dados,infra_modelos_rodam_em_clusters_api_etc,infra_modelos_rodam_em_clusters_api_etc,False
d41b89bae9fe0372,atividades_cientista_dados,Atividades: Cientista de Dados,llm_cientista_dados_uso,llm_cientista_dados_uso,False
058621dffddf6d33,atividades_cientista_dados,Atividades: Cientista de Dados,manutencao_etl_dag_tmp_gasto_cientista,manutencao_etl_dag_tmp_gasto_cientista,False
d23c2fbfbe822d1f,atividades_cientista_dados,Atividades: Cientista de Dados,manutencao_ml_em_prod_monitoramento_ajuste_tmp_gasto_cientista,manutencao_ml_em_prod_monitoramento_ajuste_tmp_gasto_cientista,False
ea3126788dbb3c50,atividades_cientista_dados,Atividades: Cientista de Dados,manutencao_ml_prod_tmp_gasto_cientista,manutencao_ml_prod_tmp_gasto_cientista,False
15d548b2dc23289b,atividades_cientista_dados,Atividades: Cientista de Dados,manutencao_modelo_ml_producao_melhorias,manutencao_modelo_ml_producao_melhorias,False
852578511ffb6aae,atividades_cientista_dados,Atividades: Cientista de Dados,metodo_estatistico_bayesiano_analise,metodo_estatistico_bayesiano_analise,False
937d25e7e32e5ea9,atividades_cientista_dados,Atividades: Cientista de Dados,metodos_estatisticos_classicos,metodos_estatisticos_classicos,False
45d2ee2f26ea2b5b,atividades_cientista_dados,Atividades: Cientista de Dados,ml_deteccao_fraude,ml_deteccao_fraude,False
23283ea574ce1816,atividades_cientista_dados,Atividades: Cientista de Dados,modelo_deteccao_churn,modelo_deteccao_churn,False
b316226d704b08a7,atividades_cientista_dados,Atividades: Cientista de Dados,modelos_preditivos,modelos_preditivos,False
838f08749be1824d,atividades_cientista_dados,Atividades: Cientista de Dados,planilha_excel_cientista,planilha_excel_cientista,False
fc18548da423e43f,atividades_cientista_dados,Atividades: Cientista de Dados,plataforma_ml_cientista,plataforma_ml_cientista,False
e68edca25a3700b7,atividades_cientista_dados,Atividades: Cientista de Dados,redes_neurais_odelo_arvore,redes_neurais_odelo_arvore,False
d1a844f34be79253,atividades_cientista_dados,Atividades: Cientista de Dados,regressao_logistica_glm,regressao_logistica_glm,False
65f9c762fa716458,atividades_cientista_dados,Atividades: Cientista de Dados,sistema_recomendacao,sistema_recomendacao,False
87be797cfb077d69,atividades_cientista_dados,Atividades: Cientista de Dados,tecnicas_clusterizacao,tecnicas_clusterizacao,False
07dcdf185dd7a080,atividades_cientista_dados,Atividades: Cientista de Dados,uso_adhoc_modelo_preditivo,uso_adhoc_modelo_preditivo,False
0f7a0ef37e4b0cdc,atividades_cientista_dados,Atividades: Cientista de Dados,uso_adhoc_modelo_preditivo_1,uso_adhoc_modelo_preditivo_1,False
4c6c9cde9afaac13,atividades_cientista_dados,Atividades: Cientista de Dados,visao_computacional,visao_computacional,False
868d7d3139168757,atividades_engenheiro_dados,Atividades: Engenheiro de Dados,SSIS,SSIS,False
32e4f40fcf1639df,atividades_engenheiro_dados,Atividades: Engenheiro de Dados,alteryx_1,alteryx_1,False
e4ad6b963b9ca1c0,atividades_engenheiro_dados,Atividades: Engenheiro de Dados,apache_airflow,apache_airflow,False
fdb26ed40cbcfd22,atividades_engenheiro_dados,Atividades: Engenheiro de Dados,apache_nifi,apache_nifi,False
f44740b2d16dad0f,atividades_engenheiro_dados,Atividades: Engenheiro de Dados,aws_glue,aws_glue,False
a94dd70d85a5c0de,atividades_engenheiro_dados,Atividades: Engenheiro de Dados,criacao_componentes_ingestao_dados,criacao_componentes_ingestao_dados,False
f7252e4e7a2edac4,atividades_engenheiro_dados,Atividades: Engenheiro de Dados,dados_streaming_data_lake_lakehouse,dados_streaming_data_lake_lakehouse,False
5f564259a2ff2cb3,atividades_engenheiro_dados,Atividades: Engenheiro de Dados,databricks_1,databricks_1,False
65bfe6fb68b1bdfb,atividades_engenheiro_dados,Atividades: Engenheiro de Dados,engenheiro_dados_alteryx,engenheiro_dados_alteryx,False
48342c857dbb5751,atividades_engenheiro_dados,Atividades: Engenheiro de Dados,engenheiro_dados_databricks,engenheiro_dados_databricks,False
71705152e6809787,atividades_engenheiro_dados,Atividades: Engenheiro de Dados,engenheiro_dados_pentaho,engenheiro_dados_pentaho,False
07cf5cbcf1fec6ec,atividades_engenheiro_dados,Atividades: Engenheiro de Dados,engenheiro_dados_sem_ferramenta_etl,engenheiro_dados_sem_ferramenta_etl,False
a99bb6d8f6a09c34,atividades_engenheiro_dados,Atividades: Engenheiro de Dados,etl_com_ferramentas_bi,etl_com_ferramentas_bi,False
ff89d91b9c150f62,atividades_engenheiro_dados,Atividades: Engenheiro de Dados,etl_pentaho_talent_etc,etl_pentaho_talent_etc,False
f1be0f89aba8461e,atividades_engenheiro_dados,Atividades: Engenheiro de Dados,exportacao_rel_para_area_neg,exportacao_rel_para_area_neg,False
dab9ca669fd6d311,atividades_engenheiro_dados,Atividades: Engenheiro de Dados,fivetran,fivetran,False
243f3f1d1e1df21b,atividades_engenheiro_dados,Atividades: Engenheiro de Dados,google_dataflow,google_dataflow,False
1e8883e4da70147b,atividades_engenheiro_dados,Atividades: Engenheiro de Dados,ibm_data_stage,ibm_data_stage,False
c96044975de0aba8,atividades_engenheiro_dados,Atividades: Engenheiro de Dados,integracao_dados_plataformas_dados,integracao_dados_plataformas_dados,False
594a72fc9857a866,atividades_engenheiro_dados,Atividades: Engenheiro de Dados,integracao_fonte_dados_diferentes_tmp_gasto,integracao_fonte_dados_diferentes_tmp_gasto,False
2fac318a4f238078,atividades_engenheiro_dados,Atividades: Engenheiro de Dados,knime,knime,False
ca35a9ea15e2729f,atividades_engenheiro_dados,Atividades: Engenheiro de Dados,luigi,luigi,False
d46d93f6298460bd,atividades_engenheiro_dados,Atividades: Engenheiro de Dados,manutencao_criacao_rep_dados_streaming,manutencao_criacao_rep_dados_streaming,False
dbcd421acff12581,atividades_engenheiro_dados,Atividades: Engenheiro de Dados,modelagem_arquitetura_dados_tmp_gasto,modelagem_arquitetura_dados_tmp_gasto,False
8ba7f0333d7412d7,atividades_engenheiro_dados,Atividades: Engenheiro de Dados,modelagem_dados_dw_data_mart,modelagem_dados_dw_data_mart,False
702d02767b821882,atividades_engenheiro_dados,Atividades: Engenheiro de Dados,modelagem_dados_dw_data_mart_1,modelagem_dados_dw_data_mart_1,False
ffaeb1c7273017dd,atividades_engenheiro_dados,Atividades: Engenheiro de Dados,nenhuma_das_opcoes_tmp_gasto,nenhuma_das_opcoes_tmp_gasto,False
7beccd1cf2b67573,atividades_engenheiro_dados,Atividades: Engenheiro de Dados,nenhuma_opcao_engenheiro_dados,nenhuma_opcao_engenheiro_dados,False
68b25bea8e3a39bc,atividades_engenheiro_dados,Atividades: Engenheiro de Dados,nenhuma_opcao_engenheiro_dados_1,nenhuma_opcao_engenheiro_dados_1,False
46615960629efde9,atividades_engenheiro_dados,Atividades: Engenheiro de Dados,oracle_data_integrator,oracle_data_integrator,False
0ed4212aaf77fddf,atividades_engenheiro_dados,Atividades: Engenheiro de Dados,pentaho_1,pentaho_1,False
a74dae5bdb236478,atividades_engenheiro_dados,Atividades: Engenheiro de Dados,pipeline_dados_ling_prog,pipeline_dados_ling_prog,False
